"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2001"	"2001"	"35-44 years"	"35-44"	1845	678003	272.12
	"Alabama"	"01"	"2001"	"2001"	"45-54 years"	"45-54"	3495	623455	560.59
	"Alabama"	"01"	"2001"	"2001"	"55-64 years"	"55-64"	5127	425024	1206.28
	"Alabama"	"01"	"2001"	"2001"	"65-74 years"	"65-74"	8863	318262	2784.81
	"Alabama"	"01"	"2001"	"2001"	"75-84 years"	"75-84"	12400	198633	6242.67
	"Alabama"	"01"	"2001"	"2001"	"85+ years"	"85+"	11202	66936	16735.39
	"Alabama"	"01"	"2001"	"2001"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"< 1 year"	"1"	539	58963	914.13
	"Alabama"	"01"	"2002"	"2002"	"1-4 years"	"1-4"	102	237083	43.02
	"Alabama"	"01"	"2002"	"2002"	"5-9 years"	"5-9"	61	302632	20.16
	"Alabama"	"01"	"2002"	"2002"	"10-14 years"	"10-14"	89	325008	27.38
	"Alabama"	"01"	"2002"	"2002"	"15-19 years"	"15-19"	316	320749	98.52
	"Alabama"	"01"	"2002"	"2002"	"20-24 years"	"20-24"	406	322812	125.77
	"Alabama"	"01"	"2002"	"2002"	"25-34 years"	"25-34"	912	583671	156.25
	"Alabama"	"01"	"2002"	"2002"	"35-44 years"	"35-44"	1806	666137	271.12
	"Alabama"	"01"	"2002"	"2002"	"45-54 years"	"45-54"	3574	629906	567.39
	"Alabama"	"01"	"2002"	"2002"	"55-64 years"	"55-64"	5297	447523	1183.63
	"Alabama"	"01"	"2002"	"2002"	"65-74 years"	"65-74"	8582	318459	2694.85
	"Alabama"	"01"	"2002"	"2002"	"75-84 years"	"75-84"	12854	200722	6403.88
	"Alabama"	"01"	"2002"	"2002"	"85+ years"	"85+"	11528	66424	17355.17
	"Alabama"	"01"	"2002"	"2002"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"< 1 year"	"1"	519	58021	894.50
	"Alabama"	"01"	"2003"	"2003"	"1-4 years"	"1-4"	96	237183	40.48
	"Alabama"	"01"	"2003"	"2003"	"5-9 years"	"5-9"	63	299148	21.06
	"Alabama"	"01"	"2003"	"2003"	"10-14 years"	"10-14"	70	326642	21.43
	"Alabama"	"01"	"2003"	"2003"	"15-19 years"	"15-19"	282	321655	87.67
	"Alabama"	"01"	"2003"	"2003"	"20-24 years"	"20-24"	416	326983	127.22
	"Alabama"	"01"	"2003"	"2003"	"25-34 years"	"25-34"	878	583109	150.57
	"Alabama"	"01"	"2003"	"2003"	"35-44 years"	"35-44"	1889	655351	288.24
	"Alabama"	"01"	"2003"	"2003"	"45-54 years"	"45-54"	3738	639357	584.65
	"Alabama"	"01"	"2003"	"2003"	"55-64 years"	"55-64"	5611	465670	1204.93
	"Alabama"	"01"	"2003"	"2003"	"65-74 years"	"65-74"	8542	320967	2661.33
	"Alabama"	"01"	"2003"	"2003"	"75-84 years"	"75-84"	12992	203838	6373.69
	"Alabama"	"01"	"2003"	"2003"	"85+ years"	"85+"	11619	65567	17720.80
	"Alabama"	"01"	"2003"	"2003"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"< 1 year"	"1"	516	58927	875.66
	"Alabama"	"01"	"2004"	"2004"	"1-4 years"	"1-4"	106	237043	44.72
	"Alabama"	"01"	"2004"	"2004"	"5-9 years"	"5-9"	49	297554	16.47
	"Alabama"	"01"	"2004"	"2004"	"10-14 years"	"10-14"	79	326228	24.22
	"Alabama"	"01"	"2004"	"2004"	"15-19 years"	"15-19"	315	325095	96.89
	"Alabama"	"01"	"2004"	"2004"	"20-24 years"	"20-24"	470	326749	143.84
	"Alabama"	"01"	"2004"	"2004"	"25-34 years"	"25-34"	884	583760	151.43
	"Alabama"	"01"	"2004"	"2004"	"35-44 years"	"35-44"	1870	647811	288.66
	"Alabama"	"01"	"2004"	"2004"	"45-54 years"	"45-54"	3743	648373	577.29
	"Alabama"	"01"	"2004"	"2004"	"55-64 years"	"55-64"	5769	485363	1188.59
	"Alabama"	"01"	"2004"	"2004"	"65-74 years"	"65-74"	8431	323711	2604.48
	"Alabama"	"01"	"2004"	"2004"	"75-84 years"	"75-84"	12796	204612	6253.79
	"Alabama"	"01"	"2004"	"2004"	"85+ years"	"85+"	11093	65503	16935.10
	"Alabama"	"01"	"2004"	"2004"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"< 1 year"	"1"	568	59424	955.84
	"Alabama"	"01"	"2005"	"2005"	"1-4 years"	"1-4"	87	237017	36.71
	"Alabama"	"01"	"2005"	"2005"	"5-9 years"	"5-9"	48	298450	16.08
	"Alabama"	"01"	"2005"	"2005"	"10-14 years"	"10-14"	79	323028	24.46
	"Alabama"	"01"	"2005"	"2005"	"15-19 years"	"15-19"	284	330753	85.86
	"Alabama"	"01"	"2005"	"2005"	"20-24 years"	"20-24"	443	326727	135.59
	"Alabama"	"01"	"2005"	"2005"	"25-34 years"	"25-34"	947	585831	161.65
	"Alabama"	"01"	"2005"	"2005"	"35-44 years"	"35-44"	1788	642755	278.18
	"Alabama"	"01"	"2005"	"2005"	"45-54 years"	"45-54"	3924	659231	595.24
	"Alabama"	"01"	"2005"	"2005"	"55-64 years"	"55-64"	6076	504487	1204.39
	"Alabama"	"01"	"2005"	"2005"	"65-74 years"	"65-74"	8474	329027	2575.47
	"Alabama"	"01"	"2005"	"2005"	"75-84 years"	"75-84"	12864	205685	6254.22
	"Alabama"	"01"	"2005"	"2005"	"85+ years"	"85+"	11505	67390	17072.27
	"Alabama"	"01"	"2005"	"2005"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"< 1 year"	"1"	571	60823	938.79
	"Alabama"	"01"	"2006"	"2006"	"1-4 years"	"1-4"	103	236399	43.57
	"Alabama"	"01"	"2006"	"2006"	"5-9 years"	"5-9"	64	303581	21.08
	"Alabama"	"01"	"2006"	"2006"	"10-14 years"	"10-14"	61	321867	18.95
	"Alabama"	"01"	"2006"	"2006"	"15-19 years"	"15-19"	304	337003	90.21
	"Alabama"	"01"	"2006"	"2006"	"20-24 years"	"20-24"	536	326239	164.30
	"Alabama"	"01"	"2006"	"2006"	"25-34 years"	"25-34"	1057	591061	178.83
	"Alabama"	"01"	"2006"	"2006"	"35-44 years"	"35-44"	1871	642706	291.11
	"Alabama"	"01"	"2006"	"2006"	"45-54 years"	"45-54"	4020	671910	598.29
	"Alabama"	"01"	"2006"	"2006"	"55-64 years"	"55-64"	6086	524312	1160.76
	"Alabama"	"01"	"2006"	"2006"	"65-74 years"	"65-74"	8410	336048	2502.62
	"Alabama"	"01"	"2006"	"2006"	"75-84 years"	"75-84"	12500	207754	6016.73
	"Alabama"	"01"	"2006"	"2006"	"85+ years"	"85+"	11393	69278	16445.34
	"Alabama"	"01"	"2006"	"2006"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"< 1 year"	"1"	641	62907	1018.96
	"Alabama"	"01"	"2007"	"2007"	"1-4 years"	"1-4"	76	237393	32.01
	"Alabama"	"01"	"2007"	"2007"	"5-9 years"	"5-9"	66	306013	21.57
	"Alabama"	"01"	"2007"	"2007"	"10-14 years"	"10-14"	55	320407	17.17
	"Alabama"	"01"	"2007"	"2007"	"15-19 years"	"15-19"	304	341279	89.08
	"Alabama"	"01"	"2007"	"2007"	"20-24 years"	"20-24"	529	327293	161.63
	"Alabama"	"01"	"2007"	"2007"	"25-34 years"	"25-34"	956	593652	161.04
	"Alabama"	"01"	"2007"	"2007"	"35-44 years"	"35-44"	1776	638956	277.95
	"Alabama"	"01"	"2007"	"2007"	"45-54 years"	"45-54"	3957	680795	581.23
	"Alabama"	"01"	"2007"	"2007"	"55-64 years"	"55-64"	6228	542075	1148.92
	"Alabama"	"01"	"2007"	"2007"	"65-74 years"	"65-74"	8483	342611	2475.99
	"Alabama"	"01"	"2007"	"2007"	"75-84 years"	"75-84"	12177	208541	5839.14
	"Alabama"	"01"	"2007"	"2007"	"85+ years"	"85+"	11446	70918	16139.77
	"Alabama"	"01"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"< 1 year"	"1"	612	63816	959.01
	"Alabama"	"01"	"2008"	"2008"	"1-4 years"	"1-4"	93	241026	38.59
	"Alabama"	"01"	"2008"	"2008"	"5-9 years"	"5-9"	53	306682	17.28
	"Alabama"	"01"	"2008"	"2008"	"10-14 years"	"10-14"	72	319503	22.53
	"Alabama"	"01"	"2008"	"2008"	"15-19 years"	"15-19"	262	345580	75.81
	"Alabama"	"01"	"2008"	"2008"	"20-24 years"	"20-24"	445	328751	135.36
	"Alabama"	"01"	"2008"	"2008"	"25-34 years"	"25-34"	982	598776	164.00
	"Alabama"	"01"	"2008"	"2008"	"35-44 years"	"35-44"	1680	632634	265.56
	"Alabama"	"01"	"2008"	"2008"	"45-54 years"	"45-54"	4158	688154	604.23
	"Alabama"	"01"	"2008"	"2008"	"55-64 years"	"55-64"	6508	556340	1169.79
	"Alabama"	"01"	"2008"	"2008"	"65-74 years"	"65-74"	8595	354234	2426.36
	"Alabama"	"01"	"2008"	"2008"	"75-84 years"	"75-84"	12302	210116	5854.86
	"Alabama"	"01"	"2008"	"2008"	"85+ years"	"85+"	11944	72594	16453.15
	"Alabama"	"01"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	"< 1 year"	"1"	517	61793	836.66
	"Alabama"	"01"	"2009"	"2009"	"1-4 years"	"1-4"	104	243619	42.69
	"Alabama"	"01"	"2009"	"2009"	"5-9 years"	"5-9"	43	307864	13.97
	"Alabama"	"01"	"2009"	"2009"	"10-14 years"	"10-14"	72	319072	22.57
	"Alabama"	"01"	"2009"	"2009"	"15-19 years"	"15-19"	228	346611	65.78
	"Alabama"	"01"	"2009"	"2009"	"20-24 years"	"20-24"	403	332117	121.34
	"Alabama"	"01"	"2009"	"2009"	"25-34 years"	"25-34"	942	605551	155.56
	"Alabama"	"01"	"2009"	"2009"	"35-44 years"	"35-44"	1746	626649	278.62
	"Alabama"	"01"	"2009"	"2009"	"45-54 years"	"45-54"	4079	692734	588.83
	"Alabama"	"01"	"2009"	"2009"	"55-64 years"	"55-64"	6654	572887	1161.49
	"Alabama"	"01"	"2009"	"2009"	"65-74 years"	"65-74"	8775	364755	2405.72
	"Alabama"	"01"	"2009"	"2009"	"75-84 years"	"75-84"	12107	209962	5766.28
	"Alabama"	"01"	"2009"	"2009"	"85+ years"	"85+"	11799	74324	15875.09
	"Alabama"	"01"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"< 1 year"	"1"	523	60056	870.85
	"Alabama"	"01"	"2010"	"2010"	"1-4 years"	"1-4"	80	244901	32.67
	"Alabama"	"01"	"2010"	"2010"	"5-9 years"	"5-9"	64	308229	20.76
	"Alabama"	"01"	"2010"	"2010"	"10-14 years"	"10-14"	74	319655	23.15
	"Alabama"	"01"	"2010"	"2010"	"15-19 years"	"15-19"	227	343471	66.09
	"Alabama"	"01"	"2010"	"2010"	"20-24 years"	"20-24"	404	335322	120.48
	"Alabama"	"01"	"2010"	"2010"	"25-34 years"	"25-34"	1005	608922	165.05
	"Alabama"	"01"	"2010"	"2010"	"35-44 years"	"35-44"	1625	619501	262.31
	"Alabama"	"01"	"2010"	"2010"	"45-54 years"	"45-54"	4040	693854	582.26
	"Alabama"	"01"	"2010"	"2010"	"55-64 years"	"55-64"	6753	588033	1148.40
	"Alabama"	"01"	"2010"	"2010"	"65-74 years"	"65-74"	8903	370501	2402.96
	"Alabama"	"01"	"2010"	"2010"	"75-84 years"	"75-84"	12295	211607	5810.30
	"Alabama"	"01"	"2010"	"2010"	"85+ years"	"85+"	12045	75684	15914.86
	"Alabama"	"01"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2011"	"2011"	"< 1 year"	"1"	487	59215	822.43
	"Alabama"	"01"	"2011"	"2011"	"1-4 years"	"1-4"	99	243650	40.63
	"Alabama"	"01"	"2011"	"2011"	"5-9 years"	"5-9"	57	305079	18.68
	"Alabama"	"01"	"2011"	"2011"	"10-14 years"	"10-14"	68	321496	21.15
	"Alabama"	"01"	"2011"	"2011"	"15-19 years"	"15-19"	232	329551	70.40
	"Alabama"	"01"	"2011"	"2011"	"20-24 years"	"20-24"	415	346602	119.73
	"Alabama"	"01"	"2011"	"2011"	"25-34 years"	"25-34"	1037	614534	168.75
	"Alabama"	"01"	"2011"	"2011"	"35-44 years"	"35-44"	1579	611100	258.39
	"Alabama"	"01"	"2011"	"2011"	"45-54 years"	"45-54"	4043	686158	589.22
	"Alabama"	"01"	"2011"	"2011"	"55-64 years"	"55-64"	7111	610083	1165.58
	"Alabama"	"01"	"2011"	"2011"	"65-74 years"	"65-74"	8987	379937	2365.39
	"Alabama"	"01"	"2011"	"2011"	"75-84 years"	"75-84"	12272	214821	5712.66
	"Alabama"	"01"	"2011"	"2011"	"85+ years"	"85+"	12293	77692	15822.74
	"Alabama"	"01"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"< 1 year"	"1"	523	58440	894.93
	"Alabama"	"01"	"2012"	"2012"	"1-4 years"	"1-4"	93	240477	38.67
	"Alabama"	"01"	"2012"	"2012"	"5-9 years"	"5-9"	52	305756	17.01
	"Alabama"	"01"	"2012"	"2012"	"10-14 years"	"10-14"	61	319572	19.09
	"Alabama"	"01"	"2012"	"2012"	"15-19 years"	"15-19"	230	323244	71.15
	"Alabama"	"01"	"2012"	"2012"	"20-24 years"	"20-24"	361	352325	102.46
	"Alabama"	"01"	"2012"	"2012"	"25-34 years"	"25-34"	1026	617372	166.19
	"Alabama"	"01"	"2012"	"2012"	"35-44 years"	"35-44"	1691	608981	277.68
	"Alabama"	"01"	"2012"	"2012"	"45-54 years"	"45-54"	3963	675030	587.09
	"Alabama"	"01"	"2012"	"2012"	"55-64 years"	"55-64"	7199	615373	1169.86
	"Alabama"	"01"	"2012"	"2012"	"65-74 years"	"65-74"	9373	402132	2330.83
	"Alabama"	"01"	"2012"	"2012"	"75-84 years"	"75-84"	12197	217046	5619.55
	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	12529	80212	15619.86
	"Alabama"	"01"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2013"	"2013"	"< 1 year"	"1"	501	57370	873.28
	"Alabama"	"01"	"2013"	"2013"	"1-4 years"	"1-4"	83	236942	35.03
	"Alabama"	"01"	"2013"	"2013"	"5-9 years"	"5-9"	55	307005	17.92
	"Alabama"	"01"	"2013"	"2013"	"10-14 years"	"10-14"	62	315973	19.62
	"Alabama"	"01"	"2013"	"2013"	"15-19 years"	"15-19"	189	320703	58.93
	"Alabama"	"01"	"2013"	"2013"	"20-24 years"	"20-24"	427	355021	120.27
	"Alabama"	"01"	"2013"	"2013"	"25-34 years"	"25-34"	1041	620455	167.78
	"Alabama"	"01"	"2013"	"2013"	"35-44 years"	"35-44"	1621	607892	266.66
	"Alabama"	"01"	"2013"	"2013"	"45-54 years"	"45-54"	4018	665130	604.09
	"Alabama"	"01"	"2013"	"2013"	"55-64 years"	"55-64"	7406	622417	1189.88
	"Alabama"	"01"	"2013"	"2013"	"65-74 years"	"65-74"	9839	418655	2350.15
	"Alabama"	"01"	"2013"	"2013"	"75-84 years"	"75-84"	12361	220271	5611.72
	"Alabama"	"01"	"2013"	"2013"	"85+ years"	"85+"	12585	81645	15414.29
	"Alabama"	"01"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2014"	"2014"	"< 1 year"	"1"	516	58615	880.32
	"Alabama"	"01"	"2014"	"2014"	"1-4 years"	"1-4"	73	234839	31.09
	"Alabama"	"01"	"2014"	"2014"	"5-9 years"	"5-9"	63	306038	20.59
	"Alabama"	"01"	"2014"	"2014"	"10-14 years"	"10-14"	66	313669	21.04
	"Alabama"	"01"	"2014"	"2014"	"15-19 years"	"15-19"	208	317723	65.47
	"Alabama"	"01"	"2014"	"2014"	"20-24 years"	"20-24"	387	352504	109.79
	"Alabama"	"01"	"2014"	"2014"	"25-34 years"	"25-34"	1006	625479	160.84
	"Alabama"	"01"	"2014"	"2014"	"35-44 years"	"35-44"	1733	605115	286.39
	"Alabama"	"01"	"2014"	"2014"	"45-54 years"	"45-54"	3780	656589	575.70
	"Alabama"	"01"	"2014"	"2014"	"55-64 years"	"55-64"	7572	629003	1203.81
	"Alabama"	"01"	"2014"	"2014"	"65-74 years"	"65-74"	10044	435143	2308.21
	"Alabama"	"01"	"2014"	"2014"	"75-84 years"	"75-84"	12290	224672	5470.20
	"Alabama"	"01"	"2014"	"2014"	"85+ years"	"85+"	12477	83825	14884.58
	"Alabama"	"01"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2015"	"2015"	"< 1 year"	"1"	495	58757	842.45
	"Alabama"	"01"	"2015"	"2015"	"1-4 years"	"1-4"	78	234568	33.25
	"Alabama"	"01"	"2015"	"2015"	"5-9 years"	"5-9"	50	304981	16.39
	"Alabama"	"01"	"2015"	"2015"	"10-14 years"	"10-14"	62	308972	20.07
	"Alabama"	"01"	"2015"	"2015"	"15-19 years"	"15-19"	217	319238	67.97
	"Alabama"	"01"	"2015"	"2015"	"20-24 years"	"20-24"	425	343773	123.63
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	1069	631393	169.31
	"Alabama"	"01"	"2015"	"2015"	"35-44 years"	"35-44"	1680	601504	279.30
	"Alabama"	"01"	"2015"	"2015"	"45-54 years"	"45-54"	3975	649468	612.04
	"Alabama"	"01"	"2015"	"2015"	"55-64 years"	"55-64"	7763	637089	1218.51
	"Alabama"	"01"	"2015"	"2015"	"65-74 years"	"65-74"	10347	450090	2298.87
	"Alabama"	"01"	"2015"	"2015"	"75-84 years"	"75-84"	12705	228415	5562.24
	"Alabama"	"01"	"2015"	"2015"	"85+ years"	"85+"	13042	85627	15231.18
	"Alabama"	"01"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2016"	"2016"	"< 1 year"	"1"	537	58269	921.59
	"Alabama"	"01"	"2016"	"2016"	"1-4 years"	"1-4"	74	234296	31.58
	"Alabama"	"01"	"2016"	"2016"	"5-9 years"	"5-9"	49	303617	16.14
	"Alabama"	"01"	"2016"	"2016"	"10-14 years"	"10-14"	47	306381	15.34
	"Alabama"	"01"	"2016"	"2016"	"15-19 years"	"15-19"	269	320546	83.92
	"Alabama"	"01"	"2016"	"2016"	"20-24 years"	"20-24"	472	333330	141.60
	"Alabama"	"01"	"2016"	"2016"	"25-34 years"	"25-34"	1173	637487	184.00
	"Alabama"	"01"	"2016"	"2016"	"35-44 years"	"35-44"	1830	595713	307.19
	"Alabama"	"01"	"2016"	"2016"	"45-54 years"	"45-54"	3870	644018	600.91
	"Alabama"	"01"	"2016"	"2016"	"55-64 years"	"55-64"	7779	645092	1205.87
	"Alabama"	"01"	"2016"	"2016"	"65-74 years"	"65-74"	11012	464669	2369.86
	"Alabama"	"01"	"2016"	"2016"	"75-84 years"	"75-84"	12538	233129	5378.14
	"Alabama"	"01"	"2016"	"2016"	"85+ years"	"85+"	12816	86753	14772.98
	"Alabama"	"01"	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"1999"	"1999"	"< 1 year"	"1"	57	9265	615.22
	"Alaska"	"02"	"1999"	"1999"	"1-4 years"	"1-4"	17	38671	43.96 (Unreliable)
	"Alaska"	"02"	"1999"	"1999"	"5-9 years"	"5-9"	11	55181	19.93 (Unreliable)
	"Alaska"	"02"	"1999"	"1999"	"10-14 years"	"10-14"	Suppressed	55877	Suppressed
	"Alaska"	"02"	"1999"	"1999"	"15-19 years"	"15-19"	54	49732	108.58
	"Alaska"	"02"	"1999"	"1999"	"20-24 years"	"20-24"	42	39451	106.46
	"Alaska"	"02"	"1999"	"1999"	"25-34 years"	"25-34"	138	90016	153.31
	"Alaska"	"02"	"1999"	"1999"	"35-44 years"	"35-44"	228	116881	195.07
	"Alaska"	"02"	"1999"	"1999"	"45-54 years"	"45-54"	310	92120	336.52
	"Alaska"	"02"	"1999"	"1999"	"55-64 years"	"55-64"	393	43341	906.76
	"Alaska"	"02"	"1999"	"1999"	"65-74 years"	"65-74"	541	21731	2489.53
	"Alaska"	"02"	"1999"	"1999"	"75-84 years"	"75-84"	566	10052	5630.72
	"Alaska"	"02"	"1999"	"1999"	"85+ years"	"85+"	344	2461	13978.06
	"Alaska"	"02"	"1999"	"1999"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2000"	"2000"	"< 1 year"	"1"	68	9602	708.19
	"Alaska"	"02"	"2000"	"2000"	"1-4 years"	"1-4"	21	38357	54.75
	"Alaska"	"02"	"2000"	"2000"	"5-9 years"	"5-9"	Suppressed	53872	Suppressed
	"Alaska"	"02"	"2000"	"2000"	"10-14 years"	"10-14"	19	56728	33.49 (Unreliable)
	"Alaska"	"02"	"2000"	"2000"	"15-19 years"	"15-19"	71	50142	141.60
	"Alaska"	"02"	"2000"	"2000"	"20-24 years"	"20-24"	59	40094	147.15
	"Alaska"	"02"	"2000"	"2000"	"25-34 years"	"25-34"	117	89406	130.86
	"Alaska"	"02"	"2000"	"2000"	"35-44 years"	"35-44"	240	113815	210.87
	"Alaska"	"02"	"2000"	"2000"	"45-54 years"	"45-54"	358	94653	378.22
	"Alaska"	"02"	"2000"	"2000"	"55-64 years"	"55-64"	389	44628	871.65
	"Alaska"	"02"	"2000"	"2000"	"65-74 years"	"65-74"	534	22464	2377.14
	"Alaska"	"02"	"2000"	"2000"	"75-84 years"	"75-84"	666	10544	6316.39
	"Alaska"	"02"	"2000"	"2000"	"85+ years"	"85+"	364	2627	13856.11
	"Alaska"	"02"	"2000"	"2000"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2001"	"2001"	"< 1 year"	"1"	81	9826	824.34
	"Alaska"	"02"	"2001"	"2001"	"1-4 years"	"1-4"	22	37350	58.90
	"Alaska"	"02"	"2001"	"2001"	"5-9 years"	"5-9"	Suppressed	51312	Suppressed
	"Alaska"	"02"	"2001"	"2001"	"10-14 years"	"10-14"	20	57077	35.04
	"Alaska"	"02"	"2001"	"2001"	"15-19 years"	"15-19"	53	52378	101.19
	"Alaska"	"02"	"2001"	"2001"	"20-24 years"	"20-24"	48	42602	112.67
	"Alaska"	"02"	"2001"	"2001"	"25-34 years"	"25-34"	117	87154	134.25
	"Alaska"	"02"	"2001"	"2001"	"35-44 years"	"35-44"	255	111004	229.72
	"Alaska"	"02"	"2001"	"2001"	"45-54 years"	"45-54"	400	99953	400.19
	"Alaska"	"02"	"2001"	"2001"	"55-64 years"	"55-64"	417	47643	875.26
	"Alaska"	"02"	"2001"	"2001"	"65-74 years"	"65-74"	543	23338	2326.68
	"Alaska"	"02"	"2001"	"2001"	"75-84 years"	"75-84"	632	11238	5623.78
	"Alaska"	"02"	"2001"	"2001"	"85+ years"	"85+"	378	2839	13314.55
	"Alaska"	"02"	"2001"	"2001"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2002"	"2002"	"< 1 year"	"1"	55	9695	567.30
	"Alaska"	"02"	"2002"	"2002"	"1-4 years"	"1-4"	12	37742	31.79 (Unreliable)
	"Alaska"	"02"	"2002"	"2002"	"5-9 years"	"5-9"	Suppressed	49946	Suppressed
	"Alaska"	"02"	"2002"	"2002"	"10-14 years"	"10-14"	24	57449	41.78
	"Alaska"	"02"	"2002"	"2002"	"15-19 years"	"15-19"	43	53653	80.14
	"Alaska"	"02"	"2002"	"2002"	"20-24 years"	"20-24"	63	45284	139.12
